gemeente,leeftijdsklasse,aantal
Yvoir,Van 20 tot 24 jaar,6.0
Yvoir,Van 25 tot 29 jaar,5.0
Zandhoven,Van 15 tot 19 jaar,7.0
Zandhoven,Van 20 tot 24 jaar,6.0
Zandhoven,Van 25 tot 29 jaar,6.0
Zaventem,Van 15 tot 19 jaar,7.0
Zaventem,Van 20 tot 24 jaar,6.0
Zaventem,Van 25 tot 29 jaar,6.0
Zedelgem,Van 15 tot 19 jaar,7.0
Zedelgem,Van 20 tot 24 jaar,6.0
Zedelgem,Van 25 tot 29 jaar,5.0
Zele,Van 15 tot 19 jaar,6.0
Zele,Van 20 tot 24 jaar,6.0
Zele,Van 25 tot 29 jaar,7.0
Zelzate,Van 15 tot 19 jaar,6.0
Zelzate,Van 20 tot 24 jaar,5.0
Zelzate,Van 25 tot 29 jaar,6.0
Zemst,Van 15 tot 19 jaar,6.0
Zemst,Van 20 tot 24 jaar,5.0
Zemst,Van 25 tot 29 jaar,5.0
Zinnik,Van 15 tot 19 jaar,7.0
Zinnik,Van 20 tot 24 jaar,6.0
Zinnik,Van 25 tot 29 jaar,6.0
Zoersel,Van 15 tot 19 jaar,7.0
Zoersel,Van 20 tot 24 jaar,6.0
Zoersel,Van 25 tot 29 jaar,5.0
Zonhoven,Van 15 tot 19 jaar,6.0
Zonhoven,Van 20 tot 24 jaar,6.0
Zonhoven,Van 25 tot 29 jaar,6.0
Zonnebeke,Van 15 tot 19 jaar,7.0
Zonnebeke,Van 20 tot 24 jaar,6.0
Zonnebeke,Van 25 tot 29 jaar,6.0
Zottegem,Van 15 tot 19 jaar,6.0
Zottegem,Van 20 tot 24 jaar,5.0
Zottegem,Van 25 tot 29 jaar,6.0
Zoutleeuw,Van 15 tot 19 jaar,5.0
Zoutleeuw,Van 20 tot 24 jaar,5.0
Zoutleeuw,Van 25 tot 29 jaar,5.0
Zuienkerke,Van 15 tot 19 jaar,6.0
Zuienkerke,Van 20 tot 24 jaar,6.0
Zuienkerke,Van 25 tot 29 jaar,4.0
Zulte,Van 15 tot 19 jaar,6.0
Zulte,Van 20 tot 24 jaar,6.0
Zulte,Van 25 tot 29 jaar,7.0
Zutendaal,Van 15 tot 19 jaar,6.0
Zutendaal,Van 20 tot 24 jaar,6.0
Zutendaal,Van 25 tot 29 jaar,6.0
Zwalm,Van 15 tot 19 jaar,6.0
Zwalm,Van 20 tot 24 jaar,5.0
Zwalm,Van 25 tot 29 jaar,5.0
Zwevegem,Van 15 tot 19 jaar,7.0
Zwevegem,Van 20 tot 24 jaar,6.0
Zwevegem,Van 25 tot 29 jaar,6.0
Zwijndrecht,Van 15 tot 19 jaar,6.0
Zwijndrecht,Van 20 tot 24 jaar,6.0
Zwijndrecht,Van 25 tot 29 jaar,6.0
’s Gravenbrakel,Van 15 tot 19 jaar,7.0
’s Gravenbrakel,Van 20 tot 24 jaar,6.0
’s Gravenbrakel,Van 25 tot 29 jaar,5.0
